food_name,calories,protein,carbohydrates,fat,fiber,sugar,sodium,calcium,iron,potassium,nutrition_density,meal_type,food_preference,cuisine,allergens,serving_size
Arugula,5,0.5,0.7,0.1,0.3,0.4,0.018,32.0,0.3,73.8,36.9,Lunch,Vegetarian,International,None,100 g
Asadero Cheese,402,25.5,3.2,31.9,0.0,3.2,0.7,746.9,0.6,97.2,808.175,Breakfast,Vegetarian,International,Milk,100 g
Asian Pear,51,0.6,13.0,0.3,4.4,8.6,0.0,4.9,0.0,147.6,27.8,Lunch,Vegetarian,International,None,100 g
Asparagus Canned,62,7.4,10.2,0.7,4.1,4.1,0.1,61.7,2.5,706.9,154.4,Lunch,Vegetarian,International,None,100 g
Asparagus Cooked,3,0.4,0.6,0.074,0.3,0.2,0.0,0.099,0.031,8.1,1.458,Lunch,Vegetarian,International,None,100 g
Asparagus Raw,2,0.3,0.5,0.037,0.3,0.2,0.047,0.088,0.039,6.2,1.326,Lunch,Vegetarian,International,None,100 g
Aspartame Sweetener,365,2.2,89.1,0.0,0.0,80.7,0.0,0.0,0.022,4.0,91.381,Lunch,Vegetarian,International,None,100 g
Atlantic Croaker Fried,192,15.8,6.6,11.0,0.3,0.0,0.3,27.8,0.7,295.8,62.209,Lunch,Vegetarian,International,None,100 g
Atlantic Croaker Raw,82,14.0,0.0,2.5,0.0,0.0,0.014,11.9,0.3,272.6,28.709,Lunch,Vegetarian,International,None,100 g
Au Jus,38,2.8,5.9,0.5,0.0,0.0,1.1,9.4,1.4,191.2,22.4,Lunch,Vegetarian,International,None,100 g
Avocado,432,5.4,23.0,39.6,18.1,1.8,0.045,0.078,0.5,140.4,87.302,Lunch,Vegetarian,International,None,100 g
Avocado Oil,124,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Lunch,Vegetarian,International,None,100 g
Azumaya Tofu Vitasoy,316,32.8,9.1,16.6,2.4,1.6,0.03,711.0,5.1,0.0,777.0,Lunch,Vegetarian,International,None,100 g
Babassu Oil,1927,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,Lunch,Vegetarian,International,None,100 g
Baby Carrots,5,0.031,1.2,0.053,0.4,0.7,0.097,4.8,0.1,35.6,6.999,Lunch,Vegetarian,International,None,100 g
Baby Lima Beans Cooked,189,12.0,35.0,0.5,10.8,2.5,0.064,0.06,0.4,201.6,58.952,Lunch,Vegetarian,International,None,100 g
Baby Zucchini,2,0.3,0.3,0.089,0.1,0.0,0.041,2.3,0.098,50.5,6.89,Lunch,Vegetarian,International,None,100 g
Bacon,106,3.3,0.2,10.2,0.0,0.2,0.1,1.0,0.1,131.6,14.8,Lunch,Vegetarian,International,None,100 g
Bacon Baked,44,2.9,0.1,3.5,0.0,0.0,0.2,0.047,0.054,41.0,6.673,Lunch,Vegetarian,International,None,100 g
Bacon Beef Steak,146,8.2,0.2,12.5,0.0,0.2,0.4,4.0,0.5,109.0,25.4,Lunch,Non-Vegetarian,International,None,100 g
Bacon Cooked,43,3.5,0.068,3.1,0.0,0.0,0.2,0.0,0.047,35.4,6.747,Lunch,Vegetarian,International,None,100 g
Bacon Grease,39,0.0,0.0,4.3,0.0,0.0,0.009,0.0,0.0,0.0,4.3,Lunch,Vegetarian,International,None,100 g
Bacon Meatless,446,15.4,9.1,42.5,3.7,0.0,2.1,33.1,3.5,244.8,107.3,Lunch,Vegetarian,International,None,100 g
Bacon Ranch Salad Mcdonalds,389,28.1,19.4,20.1,3.2,4.9,0.9,146.7,1.9,0.0,250.3,Lunch,Vegetarian,International,None,100 g
Bacon Roasted,43,3.0,0.1,3.3,0.0,0.0,0.034,0.097,0.096,42.6,6.516,Lunch,Vegetarian,International,None,100 g
Bacon Tomato Dressing,49,0.3,0.3,5.3,0.04,0.3,0.1,0.6,0.057,16.2,7.942,Lunch,Vegetarian,International,None,100 g
Bagel,245,10.0,47.9,1.5,4.0,6.0,0.4,0.019,0.2,139.2,63.783,Lunch,Vegetarian,International,None,100 g
Bagel Chips,789,21.6,116.1,26.5,7.2,10.5,0.4,42.0,8.8,245.0,222.2,Lunch,Vegetarian,International,None,100 g
Bagel With Ham Egg Cheese,483,26.7,52.4,18.5,0.4,7.0,1.3,185.3,4.1,261.7,287.6,Breakfast,Non-Vegetarian,International,"Egg, Milk",100 g
Baked Apple Pie Mcdonalds,91,0.9,12.3,4.4,0.6,4.9,0.076,5.4,0.6,17.8,33.3,Snack,Vegetarian,International,None,100 g
Baked Beans,310,11.1,43.3,10.3,11.0,0.0,0.8,0.0,0.3,218.0,76.2,Lunch,Vegetarian,International,None,100 g
Baked Beans Canned,239,12.1,53.7,0.9,10.4,20.2,0.9,86.4,3.0,569.0,166.5,Lunch,Vegetarian,International,None,100 g
Baked Chips Lays,130,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Lunch,Vegetarian,International,None,100 g
Baked Potato,161,4.3,36.6,0.2,3.8,2.0,0.097,0.057,0.2,121.1,45.667,Lunch,Vegetarian,International,None,100 g
Baked Potato With Cheese Sauce,474,14.6,46.5,28.7,0.0,0.0,0.4,310.8,3.0,1166.2,429.9,Breakfast,Vegetarian,International,Milk,100 g
Baked Potato With Cheese Sauce Bacon,451,18.4,44.4,25.9,0.0,0.0,1.0,308.0,3.1,1178.1,428.7,Breakfast,Vegetarian,International,Milk,100 g
Baked Potato With Sour Cream,393,6.7,50.0,22.3,0.0,0.0,0.2,105.7,3.1,1383.2,221.8,Lunch,Vegetarian,International,None,100 g
Baked Taco Shell,61,0.8,8.3,2.7,0.9,0.2,0.004,12.5,0.2,30.1,25.4,Lunch,Vegetarian,International,None,100 g
Bakers Yeast,18,1.4,3.1,0.3,1.4,0.0,0.066,3.2,0.6,102.2,10.078,Lunch,Vegetarian,International,None,100 g
Bakers Yeast Dry,13,1.6,1.6,0.3,1.1,0.0,0.081,1.2,0.051,38.2,5.927,Lunch,Vegetarian,International,None,100 g
Baking Chocolate,145,3.7,8.7,15.2,4.8,0.3,0.049,29.3,5.0,240.7,66.7,Lunch,Vegetarian,International,None,100 g
Baking Powder,2,0.0,1.3,0.0,0.03,0.0,0.5,270.3,0.5,0.9,272.196,Lunch,Vegetarian,International,None,100 g
Baking Soda,0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,Lunch,Vegetarian,International,None,100 g
Balsamic Vinegar,14,0.041,2.7,0.0,0.0,2.4,0.071,4.3,0.1,17.9,7.129,Lunch,Vegetarian,International,None,100 g
Bamboo Shoots Cooked,14,1.8,2.3,0.3,1.2,0.0,0.04,0.0,0.083,24.0,5.76,Lunch,Vegetarian,International,None,100 g
Bamboo Shoots Raw,49,4.7,9.4,0.5,4.0,5.4,0.067,0.0,0.3,106.2,19.3,Lunch,Vegetarian,International,None,100 g
Banana,134,1.6,34.3,0.5,3.9,18.3,0.055,0.035,0.1,33.0,41.084,Snack,Vegetarian,International,None,100 g
Banana Bread,186,2.5,31.1,6.0,0.6,0.0,0.2,12.0,0.8,76.4,54.061,Breakfast,Vegetarian,International,Gluten,100 g
Banana Chips,147,0.7,16.5,9.5,2.2,10.0,0.099,5.1,0.4,151.7,36.2,Snack,Vegetarian,International,None,100 g
Banana Cream Pie,3190,52.2,390.2,161.3,8.3,143.0,2.8,889.5,12.3,1956.9,1533.5,Snack,Vegetarian,International,None,100 g
Banana Pepper,9,0.5,1.8,0.1,1.1,0.6,0.039,4.6,0.2,84.5,35.6,Snack,Vegetarian,International,None,100 g
Barbecue Loaf,40,3.6,1.5,2.0,0.0,0.0,0.3,12.7,0.3,75.7,20.1,Lunch,Vegetarian,International,None,100 g
Barbecue Sauce,29,0.1,6.9,0.1,0.2,5.7,0.2,5.6,0.1,39.4,13.1,Lunch,Vegetarian,International,None,100 g
Barbecue Sauce Bulls Eye,27,0.1,6.4,0.1,0.2,5.6,0.2,6.9,0.1,42.1,13.891,Lunch,Vegetarian,International,None,100 g
Barbecue Sauce Kraft,28,0.1,6.5,0.053,0.032,5.2,0.2,7.5,0.1,39.5,14.388,Lunch,Vegetarian,International,None,100 g
Barbecue Sauce Mcdonalds,46,0.4,10.3,0.3,0.4,9.6,0.3,3.1,0.1,55.2,14.6,Lunch,Vegetarian,International,None,100 g
Barbera Red Wine,170,0.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,Lunch,Vegetarian,International,None,100 g
Barley Cooked,193,3.5,44.3,0.7,6.0,0.4,0.064,17.3,2.1,146.0,73.9,Lunch,Vegetarian,International,None,100 g
Barley Flour,511,15.5,110.3,2.4,14.9,1.2,0.062,47.4,4.0,457.3,194.5,Lunch,Vegetarian,International,None,100 g
Barley Raw,42,1.2,9.3,0.1,1.9,0.094,0.016,3.5,0.3,33.6,16.3,Lunch,Vegetarian,International,None,100 g
Bartlett Pear,112,0.7,26.6,0.3,5.5,17.2,0.047,15.9,0.3,178.8,57.1,Lunch,Vegetarian,International,None,100 g
Basil Dried,2,0.2,0.3,0.027,0.3,0.054,0.089,0.078,0.082,1.9,1.0,Lunch,Vegetarian,International,None,100 g
Basil Fresh,2,0.2,0.2,0.089,0.1,0.064,0.058,0.047,0.075,3.9,0.752,Lunch,Vegetarian,International,None,100 g
Bass Cooked,91,15.0,0.0,2.9,0.0,0.0,0.078,63.9,1.2,282.7,84.379,Lunch,Vegetarian,International,None,100 g
Bass Raw,90,14.9,0.0,2.9,0.0,0.0,0.055,63.2,1.2,281.2,83.837,Lunch,Vegetarian,International,None,100 g
Bay Leaf,2,0.086,0.4,0.042,0.2,0.0,0.084,5.0,0.3,3.2,6.316,Lunch,Vegetarian,International,None,100 g
Bean Ham Soup,198,10.3,33.5,2.5,9.8,7.8,0.5,93.1,2.5,387.1,154.4,Lunch,Vegetarian,International,None,100 g
Bean With Bacon Soup,106,5.5,16.4,2.1,9.0,0.6,0.9,55.7,1.3,326.0,91.1,Lunch,Vegetarian,International,None,100 g
Bean With Frankfurters Soup,188,10.0,22.0,7.0,0.0,0.0,1.1,87.5,2.4,477.5,129.9,Lunch,Vegetarian,International,None,100 g
Bean With Pork Soup,335,15.3,44.1,11.5,15.3,7.8,1.7,156.0,4.0,975.0,249.324,Lunch,Non-Vegetarian,International,None,100 g
Beechnuts Dried,173,1.9,10.1,15.0,0.0,0.0,0.068,0.3,0.7,305.1,32.7,Lunch,Vegetarian,International,None,100 g
Beef Bologna,90,3.3,1.3,7.8,0.0,0.6,0.3,0.053,0.01,46.2,12.962,Lunch,Non-Vegetarian,International,None,100 g
Beef Bottom Round Steak Cooked,980,155.8,0.0,35.1,0.0,0.0,0.2,31.8,13.0,1279.2,235.7,Lunch,Non-Vegetarian,International,None,100 g
Beef Brain Cooked,688,44.1,0.0,55.6,0.0,0.0,0.6,31.6,7.8,1242.5,150.7,Lunch,Non-Vegetarian,International,None,100 g
Beef Breakfast Strips Cooked,51,3.5,0.2,3.9,0.0,0.0,0.3,1.0,0.4,46.6,9.0,Lunch,Non-Vegetarian,International,None,100 g
Beef Breakfast Strips Raw,92,2.8,0.2,8.8,0.0,0.0,0.2,0.9,0.3,34.6,18.4,Lunch,Non-Vegetarian,International,None,100 g
Beef Brisket Cooked,589,46.0,0.0,43.6,0.0,0.0,0.1,12.5,4.4,446.8,106.5,Lunch,Non-Vegetarian,International,None,100 g
Beef Brisket Raw,1139,83.6,0.0,86.5,0.0,0.0,0.3,27.2,7.7,1279.2,205.0,Lunch,Non-Vegetarian,International,None,100 g
Beef Broth Powder,8,0.6,0.6,0.3,0.0,0.6,0.9,2.2,0.03,16.1,3.739,Lunch,Non-Vegetarian,International,None,100 g
Beef Broth Soup,17,2.7,0.01,0.5,0.0,0.0,0.9,14.4,0.4,129.6,18.049,Lunch,Non-Vegetarian,International,None,100 g
Beef Diced Asda,48,0.0,10.5,0.7,0.0,0.054,0.0,0.0,0.0,0.0,11.2,Lunch,Non-Vegetarian,International,None,100 g
Beef Empanada,298,10.1,27.8,16.3,1.8,1.6,0.4,17.8,2.4,169.1,76.2,Lunch,Non-Vegetarian,International,None,100 g
Beef Flank Steak Cooked,380,51.8,0.0,17.5,0.0,0.0,0.068,33.8,3.4,612.9,106.5,Lunch,Non-Vegetarian,International,None,100 g
Beef Flank Steak Raw,47,6.0,0.0,2.3,0.0,0.0,0.054,7.6,0.4,93.4,16.3,Lunch,Non-Vegetarian,International,None,100 g
Beef Flavored Rice Cooked,319,7.0,54.4,7.9,1.5,0.0,0.9,24.7,2.2,118.6,97.7,Lunch,Non-Vegetarian,International,None,100 g
Beef Flavored Rice Raw,657,19.8,139.1,2.3,2.9,0.0,2.4,58.6,5.2,309.3,227.9,Lunch,Non-Vegetarian,International,None,100 g
Beef Gravy,123,8.7,11.2,5.5,0.9,0.5,1.5,14.0,1.6,188.7,41.982,Lunch,Non-Vegetarian,International,None,100 g
Beef Gravy Instant,25,0.7,4.1,0.6,0.3,1.6,0.3,9.4,0.4,30.2,15.598,Lunch,Non-Vegetarian,International,None,100 g
Beef Heart Cooked,47,8.1,0.057,1.3,0.0,0.0,0.024,0.038,0.2,71.9,9.714,Lunch,Non-Vegetarian,International,None,100 g
Beef Jerky,82,6.6,2.2,5.1,0.4,1.8,0.4,4.0,1.1,119.4,19.4,Lunch,Non-Vegetarian,International,None,100 g
Beef Kidneys Cooked,45,7.7,0.0,1.3,0.0,0.0,0.029,5.4,1.6,38.2,16.0,Lunch,Non-Vegetarian,International,None,100 g
Beef Liver Cooked,130,19.8,3.5,3.6,0.0,0.0,0.068,0.07,9.7,338.0,37.539,Lunch,Non-Vegetarian,International,None,100 g
Beef Luncheon Meat Jellied,31,5.3,0.0,0.9,0.0,0.0,0.4,2.8,1.0,112.6,10.0,Lunch,Non-Vegetarian,International,None,100 g
Beef Lungs Cooked,364,61.8,0.0,11.2,0.0,0.0,0.3,33.3,16.4,524.2,221.858,Lunch,Non-Vegetarian,International,None,100 g
Beef Meat Canned,111,9.2,0.0,7.9,0.0,0.0,0.095,4.5,1.0,102.2,22.6,Lunch,Non-Vegetarian,International,None,100 g
Beef Mince Meat Asda,55,0.0,6.8,3.1,0.0,0.054,0.0,0.0,0.0,0.0,9.9,Lunch,Non-Vegetarian,International,None,100 g
Beef Mushroom Soup,186,14.0,15.9,7.3,0.6,0.0,2.2,12.2,2.1,384.3,52.1,Lunch,Non-Vegetarian,International,None,100 g
Beef Noodle Soup,168,9.6,17.9,6.2,1.5,5.2,1.6,30.0,2.2,197.5,68.232,Lunch,Non-Vegetarian,International,None,100 g
Beef Pancreas Cooked,602,60.2,0.0,38.2,0.0,0.0,0.1,35.5,5.8,546.1,184.8,Lunch,Non-Vegetarian,International,None,100 g
Beef Plate Steak Grilled,508,47.1,0.0,35.6,0.0,0.0,0.1,0.047,0.4,321.9,85.652,Lunch,Non-Vegetarian,International,None,100 g
Beef Plate Steak Raw,617,47.8,0.9,46.8,0.0,0.0,0.2,16.0,9.1,643.7,120.656,Lunch,Non-Vegetarian,International,None,100 g
Beef Pork Bologna,92,4.6,1.6,7.4,0.0,1.3,0.3,25.5,0.4,94.5,39.702,Lunch,Non-Vegetarian,International,None,100 g
Beef Rib Raw,1433,73.8,0.0,123.8,0.0,0.0,0.2,36.3,7.8,1179.4,241.7,Lunch,Non-Vegetarian,International,None,100 g
Beef Rib Roasted,238,15.4,0.0,19.1,0.0,0.0,0.01,6.7,1.6,196.3,42.8,Lunch,Non-Vegetarian,International,None,100 g
Beef Round Steak Cooked,385,64.8,0.0,12.1,0.0,0.0,0.011,14.4,5.2,516.6,96.5,Lunch,Non-Vegetarian,International,None,100 g
Beef Round Steak Raw,753,100.1,0.0,36.0,0.0,0.0,0.3,95.3,8.4,1583.1,239.8,Lunch,Non-Vegetarian,International,None,100 g
Beef Salami Cooked,68,3.3,0.5,5.8,0.0,0.4,0.3,1.6,0.6,48.9,11.8,Lunch,Non-Vegetarian,International,None,100 g
Beef Sandwich Steak Raw,173,9.2,0.0,15.1,0.0,0.0,0.043,6.7,1.0,130.5,32.0,Lunch,Non-Vegetarian,International,None,100 g
Beef Shoulder Steak Grilled,155,24.0,0.0,5.8,0.0,0.0,0.014,10.2,2.5,311.1,42.589,Lunch,Non-Vegetarian,International,None,100 g
Beef Shoulder Steak Raw,349,48.2,0.0,17.3,0.0,0.0,0.2,28.7,6.0,800.7,100.218,Lunch,Non-Vegetarian,International,None,100 g
Beef Spleen Cooked,447,77.3,0.0,12.9,0.0,0.0,0.2,37.0,121.2,874.7,403.3,Lunch,Non-Vegetarian,International,None,100 g
Beef Stick,110,4.3,1.1,9.9,0.0,0.0,0.3,13.6,0.7,51.4,31.0,Lunch,Non-Vegetarian,International,None,100 g
Beef Stock,31,4.7,2.9,0.2,0.0,1.3,0.5,19.2,0.6,444.0,27.6,Lunch,Non-Vegetarian,International,None,100 g
Beef Tallow,115,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,12.8,Lunch,Non-Vegetarian,International,None,100 g
Beef Tenderloin Steak Cooked,374,37.0,0.0,24.0,0.0,0.0,0.061,26.6,2.4,460.6,90.0,Lunch,Non-Vegetarian,International,None,100 g
Beef Tenderloin Steak Raw,405,32.2,0.0,29.8,0.0,0.0,0.032,37.7,2.3,495.3,102.0,Lunch,Non-Vegetarian,International,None,100 g
Beef Thymus Cooked,1215,83.2,0.0,95.2,0.0,0.0,0.4,38.1,5.7,1649.7,337.3,Lunch,Non-Vegetarian,International,None,100 g
